joke_id,text,category,category_rough
21,"PEDESTRIAN: Will this road take me to Puddleton?-No, you'll have to walk there.-Ariel.",Dialogue (conversational),Dialogue
22,"ANOTHER LAPSUS.- Lovely Woman: Just look at this? It's the best photo I've ever had taken. All the crudities of features absolutely toned down.-Plain Man: Yes, by jove! He's a deuced good photographer.-Lovely Woman (bitten): He is. If I were you, when you have your photo taken I'd go to the same man.-Judy.",Dialogue (conversational),Dialogue
23,"""But you know, Charlie, Mr. Finance is so deaf, he can hardly hear his wife speak.""
""Dear me. Some men are born to luck.""-Pick-Me-Up",Dialogue (conversational),Dialogue
24,"RIGHTS.-Cissy: Oh, please, papa, I've knocked my shuttlecock over next door's garden wall, and the little boy won't give it me back.-Papa: Indeed! But I didn't know you had a shuttlecock.-Cissy: Ph, yes, papa; the little boy next door knocked it over into our garden last week.-Fun.",Dialogue (conversational),Dialogue
25,"VERY, VERY AMBIGUOUS. —His Wife's Mother: Only think! This is the last night we shall all be together. To-morrow I shall be far from here. Sixty miles away, isn't it, Jane? —Adolphus (interrupting): Oh, sixty miles is quite near enough. —Ariel.",Dialogue (conversational),Dialogue
26,BAH!-Phyllis: You look very sheepish.- Corydon: I am thinking of ewe.-Ariel.,Dialogue (conversational),Dialogue
27,"Mrs Talbot: ""I see by the paper, May, that Mrs. Folly is still dangerously ill, but insists upon having two wings added to her house before she dies.""
May Talbot: ""Good idea, ma, judging from all reports, they are the only pair she will ever have.""",Dialogue (conversational),Dialogue
28,"TELEPHONIC COMMUNICATION.-Husband (off to Paris): Don't cry, darling. It's too sad to leave you, I know! But you can talk to me there just as if we were together - only be careful, as it's expensive!-Wife: Is it, darling? Ha-ha-hadn't you better leave me a few blank cheques?-Punch.",Dialogue (conversational),Dialogue
29,"A FACT STRONGER THAN FICTION.— Irish Lady Patient (to doctor, about the recent winter): Ach! Doctor dear, shure this weather's killed off many an' many who never died before. — Moonshine.",Dialogue (one speaker),Dialogue
30,"OH, I SAY!- Barber: You're the baldest man I ever saw, sir.- Bald Man: Yes; I've been married three times.-Judy.",Dialogue (conversational),Dialogue
31,"GENTLEMAN (indignantly): You said in your letter that a splendid view of the sea was obtainable from these rooms, or I should never have taken them. Why, the sea's too far off to be visible!-Landlady: Yes, sir, with the naked eye; but you can see it quite clearly through this powerful telescope, which is at the service, at a nominal charge, or those who take the rooms.-Pick-Me-Up.",Dialogue (conversational),Dialogue
32,"WE know a man who sent to Peru for a dog, so that he could always have a supply of the local bark.-Judy.",Monologue,Monologue
33,"UNANSWERABLE.-Priest: Well, Par, I understand you are going to be married again?-Widower: Yis, your riv'rence.-Priest: But your wife has only been dead two months.-Widower: Yis, you riv'rence; but, sure, ain't she as dead now as ivver she'll be?-Judy.",Dialogue (conversational),Dialogue
34,"CHEEK.-Gentleman (to burglar): I say! what are you doing in my house?-Burglar (coolly): Your house. Is it your house? I thought you only rented it?- Gentleman (taken quite aback): Why, yes, but -'pon my word, of all-.-Burglar: Well, don't you be so might cocky, talkin' about your house, indeed! Good night!-Pick-Me-Up.",Dialogue (conversational),Dialogue
35,"WELL, I NEVER!-But what on earth could have induced you to marry a man so utterly your inferior?-My dear girl, I never met a man who wasn't.-Judy.",Dialogue (conversational),Dialogue
36,SHE SAT UPON HIM.- He: May I have the pleasure of sitting on your right hand?-Hostess: If you don't mind I would rather you took a chair.-Fun.,Dialogue (conversational),Dialogue
37,A MAN WHO SHOULD KNOW THE ROPES. — The public hangman. —Judy.,Definition,Definition
38,A CRUEL CONSTRUCTION.-Husband (hurriedly): Intelligence has just reached me-.-Wife (cutting in): THank heaven-if it has at last! [The food was partaken of in silence.]-Fun.,Dialogue (conversational),Dialogue
39,"Stranger (in Texas town): ""Who is the most popular man in the town?""
Texan: ""Guess Major Twofingers is, though he's a leetle disliked jest now for his ungentlemanly conduct.""
Stranger: ""What did he do?""
Texan: ""Well, he's been shooting somebody every day for the past three weeks, and you know yourself stranger, that every day is goin' a leetle too far.""",Dialogue (conversational),Dialogue
40,"""Who was that elegant gentleman with whom you were talking yesterday?""
""He is a wealthy young man from Boston.""
""He seems to be very much of a gentleman. I wish you would give me the pleasure of an introduction to him.""
""Not much. I'm going to try and borrow some money from him myself.""",Dialogue (conversational),Dialogue
41,"The latest case of absence of mind is that of a young lady who, on returning from a walk with her lover the other evening, rapped him on the face, and bade good night to the door.",Monologue,Monologue
42,"The longest sentence on record was pronounced by a Western judge. He sentenced a murderer to imprisonment for life, and afterwards added two more years to the sentence because the prisoner called him no gentleman.",Monologue,Monologue
43,"The editor of the Port Plain Register has his office and register connected by telephone. Yesterday Mr Skidd, of Little Falls, an old friend, called on the editor and expected to remain for dinner. The editor hurried to the telephone and shouted to his wife: ""Mr Skidd will be up with me to dinner, lay an extra plate.""""Now,"" said the editor, ""Mr Skidd, you may converse with her."" As the gentleman was about to approach the instrument these words were plainly heard: ""You tell Mr Skidd we don't keep a hotel on wash-day."" Mr Skidd excused himself for a few moments, and was next seen eating fried clams in the Rainbow Saloon on the corner.",Dialogue (narrative),Dialogue
44,"A man in Lowell in attempting to hang himself forgot to put the rope round his neck, and jumped off the barrel into a mudhole. He did not discover his mistake until he attempted to kick.",Monologue,Monologue
45,"""Ma,"" said a little boy, looking up from an illustrated paper, ""I wish I was a little South African boy."" ""Why, George,"" asked his ma. ""Why, 'cause their mothers don't wear slippers,"" he feelingly replied.",Dialogue (narrative),Dialogue
46,"An eccentric old Boston gentleman, in order to test the sincerity of his pretended friends, one morning hung a piece of stair carpet out of his first floor window with a sheriff's auction announcement affixed. It had the desired effect. It was like firing a gun at a pigeon-house.",Monologue,Monologue
47,"Two tramps stopped at the house of a lone widow, and one went in to beg. Very soon he came out with a black eye. ""Well, did you get anything, Jack?"" ""Yes."" growled the sufferer, ""I've got the widow's might.""",Dialogue (narrative),Dialogue
48,"""Thomas Towser, are you guilty or innocent of this charge?"" asked the judge. ""May it please your honour,"" replied Thomas, ""I don't want to commit myself."" ""Ah,"" said the judge blandly, ""then I'll do it myself. Sixty days.",Dialogue (narrative),Dialogue
49,"""Didn't you whip me once for biting Tommy, papa!"" ""Yes, my child; you hurt him much. ""Well, then, papa, you ought to whip sister's music master, too, for he bit sister, yesterday, right on the mouth; and I knew it hurt her because she put her arms round her neck and tried to choke him."" Oh, the little wretch!",Dialogue (conversational),Dialogue
50,"A customer who was being shaved in a Chicago shop noticed that the barber did not carry a very steady hand, but thought it best not to be alarmed at trifles. When, however, he procured a box to stand upon, with the remark, that ""the snakes were all over the floor and he wanted to get out of the way of the cussed things,"" the customer concluded to finish the job himself.",Dialogue (narrative),Dialogue
51,"Hallowe'en was celebrated for one of our clergymen in a novel manner. Hearing a knock at the door, he went there and found a very small boy on the step. The very small boy had his hands in his pockets, and was stamping his feet to keep them warm. ""Is Mr H. in?"" he asked. ""Yes,"" returned Mr H. himself. ""Tell him to stay in,"" shouted the very small boy as he ""lit out"" from the premises. Owing to Mr H. being bare-headed and in his slippers, the advice was followed.",Dialogue (narrative),Dialogue
52,"Mark Twain gave the following anecdote of Artemus Ward in one of his recent lectures:- As Artemus was once travelling in the ard dreading to be bored, and feeling miserable, a man approached him, sat down, and said, ""Did you hear that last thing of Horace Greeley's?"" ""Greeley, Greeley,"" said Artemus, ""Horace Greeley? Who is he?"" The man was quiet about five minutes. Very soon he said, ""George Francis Train is kicking up a good deal of row over in England; do you think they will put him in a bastille?"" ""Train, Train; George Francis Train."" said Artemus solemnly; ""I never heard of him."" This ignorance kept the man quiet for fifteen minutes, then he said, ""What do you think about General Grant's chance for the Presidency? Do you think they will run him?"" ""Grant! Grant! Hang it, man,"" said Artemus, ""you appear to know more strangers than any one I ever saw."" The man was furious; he walked up the car, but at last came back and said, ""You confounded ignoramus! did you ever hear of Adam?"" Artemus looked up and said, ""What was his other name?""",Dialogue (narrative),Dialogue
53,Curious transformations: When a pretty bonnet becomes a pretty woman ; when a man turns a horse into a pasture; when the door is found to be a jar.,Monologue,Monologue
54,"""Now, what,"" enquires the professor in philosophy, looking the class directly in the face, and aiming to make a point in the lesson on heat, ""what makes the atmosphere so frigid out of doors?"" There was a silence for some moments, and then a student on the front seat softly replied, ""The cold weather,"" whereupon the lesson was brought to an abrupt close.",Dialogue (narrative),Dialogue
55,"The following sharp retort was made by Dr. Warren in this cross examination by the Attorney-General in New York. Attorney-General -""A doctor ought to be able to give an opinion of a disease without making mistakes."" Dr Warren -""They are as capable as lawyers."" Attorney-General -""Doctor's mistakes are buried six feet under the ground; a lawyer's are not."" Dr Warren -""But they are sometimes hanged as many feet above ground.""",Dialogue (conversational),Dialogue
56,"OLD AND CRUSTY.-Fussy Old Director: Lemme see, porter-er-how do the Brighton trains run this month?-Crusty Old Porter (snappily): On wheels. [Sacked.]-Judy.",Dialogue (conversational),Dialogue
57,"A CHECK. - Huntsman: Seen the fox, my boy? -Bot: No, I ain't! -Huntsman: Then, what are you hollarin' for? -Boy (who has been scaring rooks): 'Cos I'm paid for it! -Punch.",Dialogue (conversational),Dialogue
58,"""AND A GOOD JUDGE, TOO."" - Amateur Composer (to musical justice of the peace): Er- by the bye, have you ever tried one of my songs? - Musical J.P. (significantly): No - but I'd like to. - Funny Folks.",Dialogue (conversational),Dialogue
